Marca temporal,"Nombre de la institución:
colocar preferentemente en mayúsculas.","Dirección:
colocar preferentemente en mayúsculas.","Localidad:
colocar preferentemente en mayúsculas.","Nombre de la carrera:
colocar preferentemente en mayúsculas.","Localidad donde se dicta:
colocar preferentemente en mayúsculas.",Duración en años:,Duración en cuatrimestres:,Modalidad de dictado:,Area:,¿La carrera es arancelada?,"Link de acceso a más información sobre la carrera:
enlace específico o institucional.",¿Desea cargar otra carrera?,"Nombre de la carrera:
colocar preferentemente en mayúsculas.","Localidad donde se dicta:
colocar preferentemente en mayúsculas.",Duración en años:,Duración en cuatrimestres:,Modalidad de dictado:,Area:,¿La carrera es arancelada?,"Link de acceso a más información sobre la carrera:
enlace específico o institucional.",¿Desea cargar otra carrera?,"Nombre de la carrera:
colocar preferentemente en mayúsculas.","Localidad donde se dicta:
colocar preferentemente en mayúsculas.",Duración en años:,Duración en cuatrimestres:,Modalidad de dictado:,Area:,¿La carrera es arancelada?,"Link de acceso a más información sobre la carrera:
enlace específico o institucional.",¿Desea cargar otra carrera?,"Nombre de la carrera:
colocar preferentemente en mayúsculas.","Localidad donde se dicta:
colocar preferentemente en mayúsculas.",Duración en años:,Duración en cuatrimestres:,Modalidad de dictado:,Area:,¿La carrera es arancelada?,"Link de acceso a más información sobre la carrera:
enlace específico o institucional.",¿Desea cargar otra carrera?,"Nombre de la carrera:
colocar preferentemente en mayúsculas.","Localidad donde se dicta:
colocar preferentemente en mayúsculas.",Duración en años:,Duración en cuatrimestres:,Modalidad de dictado:,Area:,¿La carrera es arancelada?,"Link de acceso a más información sobre la carrera:
enlace específico o institucional.",¿Desea cargar otra carrera?,"Nombre de la carrera:
colocar preferentemente en mayúsculas.","Localidad donde se dicta:
colocar preferentemente en mayúsculas.",Duración en años:,Duración en cuatrimestres:,Modalidad de dictado:,Area:,¿La carrera es arancelada?,"Link de acceso a más información sobre la carrera:
enlace específico o institucional.",¿Desea cargar otra carrera?,"Nombre de la carrera:
colocar preferentemente en mayúsculas.","Localidad donde se dicta:
colocar preferentemente en mayúsculas.",Duración en años:,Duración en cuatrimestres:,Modalidad de dictado:,Area:,¿La carrera es arancelada?,"Link de acceso a más información sobre la carrera:
enlace específico o institucional.",¿Desea cargar otra carrera?,"Nombre de la carrera:
colocar preferentemente en mayúsculas.","Localidad donde se dicta:
colocar preferentemente en mayúsculas.",Duración en años:,Duración en cuatrimestres:,Modalidad de dictado:,Area:,¿La carrera es arancelada?,"Link de acceso a más información sobre la carrera:
enlace específico o institucional.",¿Desea cargar otra carrera?,"Nombre de la carrera:
colocar preferentemente en mayúsculas.","Localidad donde se dicta:
colocar preferentemente en mayúsculas.",Duración en años:,Duración en cuatrimestres:,Modalidad de dictado:,Area:,¿La carrera es arancelada?,"Link de acceso a más información sobre la carrera:
enlace específico o institucional.",¿Desea cargar otra carrera?,"Nombre de la carrera:
colocar preferentemente en mayúsculas.","Localidad donde se dicta:
colocar preferentemente en mayúsculas.",Duración en años:,Duración en cuatrimestres:,Modalidad de dictado:,Area:,¿La carrera es arancelada?,"Link de acceso a más información sobre la carrera:
enlace específico o institucional.",¿Desea cargar otra carrera?,Sitio web institucional:
12/06/2026 10:40:11,Instituto superior de la bahia,BROWN 236,BAHIA BLANCA,TECNICATURA SUPERIOR EN DISEÑO Y PRODUCCIÓN DE INDUMENTARIA ,BAHIA BLANCA,3,6,Modalidad presencial (sin separación en tiempo y espacio).,ARQUITECTURA Y DISEÑO,Si,Institutodelabahia.com.ar,Si,TECNICATURA SUPERIOR EN DISEÑO DE INTERIORES,BAHIA BLANCA,3,6,Modalidad presencial (sin separación en tiempo y espacio).,ARQUITECTURA Y DISEÑO,Si,Institutodelabahia.com.ar,Si,TECNICATURA SUPERIOR EN ACOMPAÑANTE TERAPÉUTICO ,BAHIA BLANCA,3,6,Modalidad híbrida (combina presencialidad y a distancia sincrónica).,CIENCIAS DE LA SALUD,Si,Institutodelabahia.com.ar,"No, finalizar y enviar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Institutodelabahia.com.ar
12/06/2026 10:45:04,INSTITUTO SUPERIOR EN CIENCIAS DE LA COMUNICACIÓN SOCIAL ,BROWN 236,BAHIA BLANCA,TECNICATURA SUPERIOR EN PERIODISMO ,Bahia blanca,3,6,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS HUMANAS Y SOCIALES,Si,Www.Periodismobahia.com.ar,Si,TECNICATURA SUPERIOR EN LOCUCIÓN ,BAHIA BLANCA,3,6,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS HUMANAS Y SOCIALES,Si,Www.periodismobahia.com.ar,"No, finalizar y enviar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Periodismobahia.com.ar
12/06/2026 10:45:39,DEPARTAMENTO DE GEOLOGÍA,AVENIDA ALEMA 1253 CUERPO B' 2°PISO,BAHIA BLANCA,LICENCIATURA EN CIENCIAS GEOLÓGICAS,BAHIA BLANCA,5,10,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS NATURALES,No,https://www.uns.edu.ar/deptos/geologia,Si,TECNICATURA UNIVERSITARIA EN MEDIO AMBIENTE,BAHIA BLANCA,3,6,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS AMBIENTALES,No,https://servicios.uns.edu.ar/grado/plan.asp?dependen=5&carrera=167,Si,PROFESORADO EN GEOCIENCIAS,BAHIA BLANCA,4,8,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS NATURALES,No,https://servicios.uns.edu.ar/grado/plan.asp?dependen=5&carrera=133,"No, finalizar y enviar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.uns.edu.ar/deptos/geologia
12/06/2026 10:46:10,Departamento de Agronomía UNS,CAMPUS PALIHUE - SAN ANDRÉS 800,BAHÍA BLANCA,INGENIERÍA AGRONÓMICA ,BAHÍA BLANCA,5,10,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS AGROPECUARIAS Y AGROINDUSTRIALES,No,https://www.uns.edu.ar/deptos/agronomia,Si,TECNICATURA SUPERIOR AGRARIA EN SUELOS Y AGUAS,BAHÍA BLANCA,3,5,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS AGROPECUARIAS Y AGROINDUSTRIALES,No,https://www.uns.edu.ar/deptos/agronomia,Si,TECNICATURA UNIVERSITARIA EN PARQUES Y JARDINES,BAHÍA BLANCA,3,6,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS AGROPECUARIAS Y AGROINDUSTRIALES,No,https://www.uns.edu.ar/deptos/agronomia,"No, finalizar y enviar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.uns.edu.ar/deptos/agronomia
12/06/2026 13:20:46,UNIVERSIDAD SIGLO 21,ALVARADO 328,BAHIA BLANCA,ABOGACIA,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS HUMANAS Y SOCIALES,Si,https://web.whatsapp.com/,Si,ACTUARIO,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS HUMANAS Y SOCIALES,Si,https://web.whatsapp.com/,Si,CONTADOR PUBLICO,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS EXACTAS,Si,https://web.whatsapp.com/,Si,LIC.ADMINISTRACION,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS ECONÓMICAS Y ADMINISTRACIÓN,Si,https://web.whatsapp.com/,Si,LIC.AMBIENTE Y ENERGIAS RENOVABLES,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS AGROPECUARIAS Y AGROINDUSTRIALES,Si,https://web.whatsapp.com/,Si,LIC.BIOINFORMATICA,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",SISTEMAS E INFORMÁTICA,Si,https://web.whatsapp.com/,Si,LIC.CIENCIA DE DATOS,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",SISTEMAS E INFORMÁTICA,Si,https://web.whatsapp.com/,Si,LIC.CIENCIAS POLITICAS Y DE GOBIERNO,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS HUMANAS Y SOCIALES,Si,https://web.whatsapp.com/,Si,LIC.COMERCIALIZACION,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS ECONÓMICAS Y ADMINISTRACIÓN,Si,https://web.whatsapp.com/,Si,LIC.COMERCIO INTERNACIONAL,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS ECONÓMICAS Y ADMINISTRACIÓN,Si,https://web.whatsapp.com/,Si,https://21.edu.ar/
12/06/2026 14:41:42,DEPARTAMENTO DE DERECHO (UNIVERSIDAD NACIONAL DEL SUR),SAN ANDRÉS 800,BAHÍA BLANCA,ABOGACÍA,"BAHÍA BLANCA, BUENOS AIRES",5,10,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS HUMANAS Y SOCIALES,No,https://derecho.uns.edu.ar/abogacia/,Si,LICENCIATURA EN SEGURIDAD PÚBLICA,"VIRTUAL (SEDE DE LA INSTITUCIÓN EN BAHÍA BLANCA, BUENOS AIRES)",2,4,"Modalidad a distancia sincrónica (separación de espacio, con clases en días y horarios establecidos).",CIENCIAS HUMANAS Y SOCIALES,No,https://derecho.uns.edu.ar/licenciatura-en-seguridad-publica/,"No, finalizar y enviar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DERECHO.UNS.EDU.AR
12/06/2026 15:44:50,Instituto Goyena ,Avenida Colón 446 ,Bahía Blanca ,Tecnicatura Superior en Traductorado Técnico -Científico en Lengua Inglesa,Bahía Blanca ,3,6,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS HUMANAS Y SOCIALES,Si,https://share.google/eTvnulkORvPBFnh52,"No, finalizar y enviar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,www.institutogoyena.edu.ar 
12/06/2026 18:23:25,ARMADA ARGENTINA ,SARMIENTO N° 186 ,BAHIA BLANCA ,OFICIALES Y SUBOFICIALES DE LA ARMADA ,PUNTA ALTA Y LA PLATA,SEGUN CARRERA ,SEGUN CARRERA,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS ECONÓMICAS Y ADMINISTRACIÓN,No,www.incorporacion.armada.mil.ar,"No, finalizar y enviar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,www.incorporacion.armada.mil.ar
13/06/2026 16:10:10,UNS DIQ,Alem 1253,Bahía Blanca,INGENIERÍA QUÍMICA,BAHÍA BLANCA,5,10,Modalidad presencial (sin separación en tiempo y espacio).,TECNOLÓGICAS,No,http://www.diq.uns.edu.ar/WebIQ/grado/menu-ofertacad-grado-iq.htm,Si,INGENIERÍA EN ALIMENTOS,BAHÍA BLANCA,5,10,Modalidad presencial (sin separación en tiempo y espacio).,TECNOLÓGICAS,No,http://www.diq.uns.edu.ar/WebIQ/grado/menu-ofertacad-grado-ia.htm,Si,TECNICATURA UNIVERSITARIA EN OPERACIONES INDUSTRIALES,BAHÍA BLANCA,3,6,Modalidad presencial (sin separación en tiempo y espacio).,TECNOLÓGICAS,No,http://www.diq.uns.edu.ar/WebIQ/grado/menu-ofertacad-grado-tuoi.htm,Si,TECNICATURA UNIVERSITARIA EN PETRÓLEO Y GAS,BAHÍA BLANCA,3,6,Modalidad presencial (sin separación en tiempo y espacio).,TECNOLÓGICAS,No,http://www.diq.uns.edu.ar/WebIQ/grado/menu-ofertacad-grado-tupg.htm,Si,TECNICATURA UNIVERSITARIA EN EMPRENDIMIENTOS AGROALIMENTARIOS,PEUZO ,3,6,"Modalidad a distancia sincrónica (separación de espacio, con clases en días y horarios establecidos).",TECNOLÓGICAS,No,http://www.diq.uns.edu.ar/WebIQ/grado/menu-ofertacad-grado-tuea.htm,"No, finalizar y enviar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,www.diq.uns.edu.ar
13/06/2026 16:45:42,FUNDACIÓN UNIVERSIDAD PATAGÓNICA,AV. ALEM 1585,BAHÍA BLANCA,LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA. ,BAHÍA BLANCA,CUATRO (4),DOCE (12),Modalidad híbrida (combina presencialidad y a distancia sincrónica).,CIENCIAS DE LA SALUD,Si,https://www.instagram.com/FUNDACION.UP,Si,LICENCIATURA EN PODOLOGÍA,BAHÍA BLANCA,CUATRO,DOCE,Modalidad híbrida (combina presencialidad y a distancia sincrónica).,CIENCIAS DE LA SALUD,Si,INSTAGRAM.COM/FUNDACION.UP,Si,LICENCIATURA EN ACTIVIDAD FÍSICA,BAHÍA BLANCA,CUATRO,DOCE,Modalidad híbrida (combina presencialidad y a distancia sincrónica).,CIENCIAS DE LA SALUD,Si,INSTAGRAM.COM/FUNDACION.UP,Si,LICENCIATURA EN TERAPIA OCUPACIONAL,BAHÍA BLANCA,CUATRO,DOCE,Modalidad híbrida (combina presencialidad y a distancia sincrónica).,CIENCIAS DE LA SALUD,Si,INSTAGRAM.COM/FUNDACION.UP,Si,CICLO DE LICENCIATURA EN ACTIVIDAD FÍSICA ,BAHÍA BLANCA,UN AÑO Y MEDIO,TRES,Modalidad híbrida (combina presencialidad y a distancia sincrónica).,CIENCIAS DE LA SALUD,Si,INSTAGRAM.COM/FUNDACION.UP,Si,CICLO DE LICENCIATURA EN PODOLOGÍA,BAHÍA BLANCA,UN AÑO Y MEDIO,TRES,"Modalidad a distancia sincrónica (separación de espacio, con clases en días y horarios establecidos).",CIENCIAS DE LA SALUD,Si,INSTAGRAM.COM/FUNDACION.UP,Si,CICLO DE LICENCIATURA EN COSMETOLOGÍA,BAHÍA BLANCA,UN AÑO Y MEDIO,TRES,"Modalidad a distancia sincrónica (separación de espacio, con clases en días y horarios establecidos).",CIENCIAS DE LA SALUD,Si,INSTAGRAM.COM/FUNDACION.UP,Si,TECNICATURA EN COSMETOLOGÍA FACIAL Y CORPORAL,BAHÍA BLANCA,TRES,NUEVE,Modalidad híbrida (combina presencialidad y a distancia sincrónica).,CIENCIAS DE LA SALUD,Si,INSTAGRAM.COM/FUNDACION.UP,Si,TECNICATURA EN YOGA Y SALUD INTEGRAL,BAHÍA BLANCA,TRES,NUEVE,Modalidad híbrida (combina presencialidad y a distancia sincrónica).,CIENCIAS DE LA SALUD,Si,INSTAGRAM.COM/FUNDACION.UP,Si,TECNICATURA UNIVERSITARIA EN CIENCIA DE DATOS,BAHÍA BLANCA,DOS,CUATRO,"Modalidad a distancia sincrónica (separación de espacio, con clases en días y horarios establecidos).",SISTEMAS E INFORMÁTICA,Si,INSTAGRAM.COM/FUNDACION.UP,Si,
